iter	RMSE
0	0.9772617362
1	0.9472658286
2	0.9171682387
3	0.8887641571
4	0.8615726096
5	0.8374748993
6	0.8138708441
7	0.7919803672
8	0.7722109729
9	0.7545676742
10	0.7365164476
11	0.7213123329
12	0.7066280297
13	0.6917323741
14	0.6783939793
15	0.6658599454
16	0.6543731624
17	0.6442222989
18	0.6344839532
19	0.6255714449
20	0.6175414504
21	0.6095375612
22	0.6024448331
23	0.5956690938
24	0.5892440165
25	0.583926241
26	0.5785291108
27	0.5741468606
28	0.5696506843
29	0.5654778594
30	0.5616801196
31	0.558355924
32	0.5551533945
33	0.552268651
34	0.5494633807
35	0.5470521749
36	0.5446436378
37	0.5427280474
38	0.5408160216
39	0.5388752101
40	0.5374191724
41	0.5358920511
42	0.5343137073
43	0.5329158055
44	0.5316441336
45	0.5305048618
46	0.5294694891
47	0.5284380992
48	0.5275999042
49	0.526767095
50	0.5259891227
51	0.5251729877
52	0.5244560849
53	0.5238759334
54	0.5232911664
55	0.5226745217
56	0.5222125746
57	0.5217586006
58	0.5213679215
59	0.5208167106
60	0.5203374308
61	0.5198859067
62	0.5196006585
63	0.5192681476
64	0.5189898825
65	0.5185977229
66	0.5183143179
67	0.5179972512
68	0.5176853831
69	0.5174495772
70	0.5170975331
71	0.5168515996
72	0.5165581342
73	0.5162587973
74	0.5159977608
75	0.515854597
76	0.5156251979
77	0.5153826301
78	0.5151681115
79	0.5150491377
80	0.5149764137
81	0.5147893849
82	0.5145986374
83	0.5142670458
84	0.51417134
85	0.5138773585
86	0.5136471514
87	0.5135252274
88	0.5132719796
89	0.5131610762
90	0.5129183355
91	0.5126969961
92	0.5126059133
93	0.512379726
94	0.5123241436
95	0.5120357949
96	0.5117447985
97	0.5115810052
98	0.511483675
99	0.5113972472
100	0.5111650305
101	0.5110286048
102	0.5108270116
103	0.51042161
104	0.5102869996
105	0.5100718804
106	0.5099396185
107	0.5097827836
108	0.5095670397
109	0.5094820221
110	0.5094154789
111	0.5091502493
112	0.509016134
113	0.5087870013
114	0.5085512994
115	0.5085018054
116	0.5084351048
117	0.5082050491
118	0.508116085
119	0.5078851248
120	0.507770887
121	0.5076748023
122	0.5075922427
123	0.5074940534
124	0.507402721
125	0.5072821806
126	0.5070985307
127	0.5068289974
128	0.5066724959
129	0.5064044499
130	0.5062760934
131	0.5062143089
132	0.505892877
133	0.5057749486
134	0.5057180599
135	0.5056637531
136	0.5055727974
137	0.5055162786
138	0.5053382316
139	0.5052399493
140	0.5051806971
141	0.5050100112
142	0.5049132395
143	0.5048497475
144	0.5047374631
145	0.5045690754
146	0.5045087812
147	0.5043916176
148	0.5042967681
149	0.5041820992
150	0.5040557623
151	0.5038807033
152	0.503823775
153	0.5037249637
154	0.5035847269
155	0.5035126598
156	0.5034356754
157	0.5032564116
158	0.5032031828
159	0.5030507618
160	0.5029344667
161	0.5028148585
162	0.5027534768
163	0.5026589873
164	0.5025454563
165	0.5024672105
166	0.5023852884
167	0.5022693228
168	0.5021729917
169	0.5020667127
170	0.5020076233
171	0.5019315782
172	0.501866727
173	0.5017488383
174	0.5016815535
175	0.5015852583
176	0.5015003722
177	0.5014292819
178	0.5013446987
179	0.5012811203
180	0.5011443401
181	0.5010632126
182	0.5009863898
183	0.500923394
184	0.500636056
185	0.500536475
186	0.5004500435
187	0.500379206
188	0.5003138527
189	0.5002399041
190	0.5001801954
191	0.5001024945
192	0.5000468991
193	0.4999813503
194	0.4999099154
195	0.4997914116
196	0.4997295107
197	0.4996138632
198	0.4995271716
199	0.4994380098
200	0.4993328445
201	0.4992604855
202	0.4992044246
203	0.4991412077
204	0.4990360976
205	0.4989728555
206	0.4988495158
207	0.4987880017
208	0.4987216847
209	0.4986678605
210	0.4985598112
211	0.4984445424
212	0.4983859211
213	0.4982725119
214	0.4982061215
215	0.4981498703
216	0.4980878012
217	0.498001444
218	0.4979392408
219	0.4978452065
220	0.4977923471
221	0.4977389839
222	0.4976838028
223	0.4976242905
224	0.4975546744
225	0.4975037567
226	0.4974550756
227	0.497406938
228	0.4973265585
229	0.4972151075
230	0.4971143827
231	0.4970648054
232	0.4969856061
233	0.496888211
234	0.496835033
235	0.4967655713
236	0.4966740962
237	0.4965902495
238	0.4965382279
239	0.4964618225
240	0.4963781174
241	0.4963321923
242	0.4962790774
243	0.496230872
244	0.4961744532
245	0.4960500194
246	0.4960039992
247	0.4959622498
248	0.4959142533
249	0.4958758653
250	0.4957716295
251	0.4957282206
252	0.4956820924
253	0.4956353294
254	0.495545835
255	0.4954707085
256	0.4953880473
257	0.4953103226
258	0.4952539719
259	0.4951681194
260	0.495124159
261	0.4950883336
262	0.4950072807
263	0.4949237459
264	0.4948361772
265	0.4947957634
266	0.4947582342
267	0.494684301
268	0.4946291564
269	0.4945880147
270	0.4944864169
271	0.4944064044
272	0.4943246286
273	0.4942549314
274	0.4942161055
275	0.4941795431
276	0.4941445967
277	0.4940313404
278	0.4939620049
279	0.493878314
280	0.4937948116
281	0.493758177
282	0.4936899011
283	0.4936026815
284	0.4935280042
285	0.4934654646
286	0.4933762524
287	0.4933118523
288	0.4932663991
289	0.4932297833
290	0.493128708
291	0.4930947801
292	0.4930531756
293	0.4930104957
294	0.492945226
295	0.4928784989
296	0.4928417669
297	0.492752272
298	0.4926916109
299	0.4926208457
